Stop_Signs
STREET,X_STREET,DIRECTION,ST_FACING,DIST,CNN,CONCATENAT,MTAB_DATE,MTAB_RESO_TEXT,MTAB_MOTION,STATUS,WORKORDER,INSTALL_DATE,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
WALLER,FILLMORE,NE,WB,0,25895000,WALLER & FILLMORE,,,,,,,POINT (-122.430244 37.771168),28,28,7,11,9
STATES,CASTRO,SW,EB,0,25822000,STATES & CASTRO,,,,,,,POINT (-122.43524 37.76346),28,28,7,5,5
16TH ST,CASTRO,NE,WB,0,25807000,16TH ST & CASTRO,,,,,,,POINT (-122.4353 37.7641),28,28,7,5,5
BEAVER,CASTRO,SW,EB,0,25823000,BEAVER & CASTRO,,,,,,,POINT (-122.43538 37.764923),28,28,7,5,5
RESERVOIR,CHURCH,,WB,,25876000,RESERVOIR & CHURCH,,,,,,,POINT (-122.42904 37.76867),28,28,7,5,5
HENRY,CASTRO,SW,EB,0,25983000,HENRY & CASTRO,,,,,,,POINT (-122.43553 37.76652),28,28,7,5,5
DUBOCE,SCOTT,NE,WB,,26006000,DUBOCE AVE & SCOTT ST,,,,,,,POINT (-122.43488 37.769108),28,28,7,5,5
DUBOCE,CHURCH,SE,WB,,25884000,DUBOCE AVE & CHURCH ST,,,,,,,POINT (-122.429115 37.76945),28,28,7,5,5
15TH ST,NOE,SW,EB,0,25810000,15TH ST & NOE,,,,,,,POINT (-122.43324 37.765858),28,28,7,5,5
WALLER,DIVISADERO,NE,WB,0,26011000,WALLER & DIVISADERO,,,,,,,POINT (-122.43684 37.770336),28,28,7,5,3
HERMANN,STEINER,NE,WB,,25989000,HERMANN & STEINER,,,,,,,POINT (-122.4317 37.77003),28,28,7,5,9
STEINER,WALLER,NW,SB,,25991000,STEINER ST & WALLER,,,,I,,,POINT (-122.43189 37.770958),28,28,7,11,9
CASTRO,16TH ST,NW,SB,0,25807000,CASTRO ST & 16TH ST,,,,,,,POINT (-122.4353 37.7641),28,28,7,5,5
STEINER,DUBOCE,NW,SB,0,25987000,STEINER ST & DUBOCE AVE,,,,I,,,POINT (-122.43156 37.769302),28,28,7,5,5
15TH ST,NOE,NE,WB,0,25810000,15TH ST & NOE,,,,,,,POINT (-122.43324 37.765858),28,28,7,5,5
HERMANN,CHURCH,SW,EB,0,25888000,HERMANN & CHURCH,,,,,,,POINT (-122.429214 37.770344),28,28,7,5,9
SANCHEZ,14TH ST,NW,SB,0,25977000,SANCHEZ ST & 14TH ST,,,,I,,,POINT (-122.431175 37.76759),28,28,7,5,5
CHURCH,DUBOCE,SE,NB,0,25884000,CHURCH ST & DUBOCE AVE,,,,,,,POINT (-122.429115 37.76945),28,28,7,5,5
SCOTT,DUBOCE,NW,SB,0,26006000,SCOTT & DUBOCE,,,,,,,POINT (-122.43488 37.769108),28,28,7,5,5
PIERCE,WALLER,NW,SB,0,25996000,PIERCE ST & WALLER ST,,,,,,,POINT (-122.43353 37.770752),28,28,7,5,3
DUBOCE,STEINER,NE,WB,50E,25987000,DUBOCE AVE & STEINER ST,,,,,,,POINT (-122.43156 37.769302),28,28,7,5,5
DUBOCE,CHURCH,SW,EB,0,25884000,DUBOCE AVE & CHURCH ST,,,,,,,POINT (-122.429115 37.76945),28,28,7,5,5
CHURCH,HERMANN,SE,NB,0,25888000,CHURCH ST & HERMANN ST,,,,,,,POINT (-122.429214 37.770344),28,28,7,5,9
SCOTT,DUBOCE,NW,SB,0,26006000,SCOTT & DUBOCE,,,,,,,POINT (-122.43488 37.769108),28,28,7,5,5
CASTRO,16TH ST,SE,NB,0,25807000,CASTRO ST & 16TH ST,,,,,,,POINT (-122.4353 37.7641),28,28,7,5,5
WALLER,PIERCE,,WB,,25996000,WALLER & PIERCE,,,,,,,POINT (-122.43353 37.770752),28,28,7,5,3
NOE,HENRY,NW,SB,,25981000,NOE & HENRY,,,,,,,POINT (-122.43332 37.76666),28,28,7,5,5
CHURCH,DUBOCE,NW,SB,0,25884000,CHURCH ST & DUBOCE AVE,,,,,,,POINT (-122.429115 37.76945),28,28,7,5,5
WALLER,FILLMORE,SW,EB,0,25895000,WALLER & FILLMORE,,,,,,,POINT (-122.430244 37.771168),28,28,7,11,9
14TH ST,SANCHEZ,NE,WB,0,25977000,14TH ST & SANCHEZ,,,,,,,POINT (-122.431175 37.76759),28,28,7,5,5
BEAVER,CASTRO,NE,WB,0,25823000,BEAVER & CASTRO,,,,,,,POINT (-122.43538 37.764923),28,28,7,5,5
HENRY,CASTRO,NE,WB,0,25983000,HENRY & CASTRO,,,,,,,POINT (-122.43553 37.76652),28,28,7,5,5
NOE,DUBOCE,SE,NB,0,25984000,NOE & DUBOCE,,,,,,,POINT (-122.433556 37.769173),28,28,7,5,5
WALLER,DIVISADERO,SW,EB,0,26011000,WALLER & DIVISADERO,,,,,,,POINT (-122.43684 37.770336),28,28,7,5,3
16TH ST,CASTRO,SW,EB,0,25807000,16TH ST & CASTRO,,,,,,,POINT (-122.4353 37.7641),28,28,7,5,5
DUBOCE,NOE,SW,EB,,25984000,DUBOCE AVE & NOE ST,,,,,,,POINT (-122.433556 37.769173),28,28,7,5,5
RESERVOIR,MARKET,SW,EB,0,25877000,RESERVOIR & MARKET,,,,,,,POINT (-122.42745 37.768764),28,28,3,5,5
LLOYD ST,CASTRO,NE,WB,0,26008000,LLOYD ST & CASTRO,,,,,,,POINT (-122.43619 37.769745),28,28,7,5,3
HERMANN,FILLMORE,NE,WB,0,25894000,HERMANN & FILLMORE,,,,,,,POINT (-122.43006 37.770237),28,28,7,5,9
14TH ST,SANCHEZ,SW,EB,0,25977000,14TH ST & SANCHEZ,,,,,,,POINT (-122.431175 37.76759),28,28,7,5,5
NOE,14TH ST,SE,NB,0,25982000,NOE & 14TH ST,,,,,,,POINT (-122.433395 37.767456),28,28,7,5,5
DUBOCE,SANCHEZ,SW,EB,,25986000,DUBOCE AVE & SANCHEZ ST,,,,,,,POINT (-122.43134 37.769318),28,28,7,5,5
DUBOCE,SANCHEZ,NE,WB,,25986000,DUBOCE AVE & SANCHEZ ST,,,,,,,POINT (-122.43134 37.769318),28,28,7,5,5
LLOYD ST,SCOTT,SW,EB,0,26023000,LLOYD ST & SCOTT,,,,,,,POINT (-122.435036 37.769894),28,28,7,5,3
14TH ST,NOE,NE,WB,0,25982000,14TH ST & NOE,,,,,,,POINT (-122.433395 37.767456),28,28,7,5,5
BELCHER,DUBOCE,SE,NB,0,25892000,BELCHER & DUBOCE,,,,,,,POINT (-122.43024 37.769386),28,28,7,5,5
NOE,14TH ST,NW,SB,0,25982000,NOE & 14TH ST,,,,,,,POINT (-122.433395 37.767456),28,28,7,5,5
WALLER,STEINER,SW,EB,0,25991000,WALLER & STEINER,,,,,,,POINT (-122.43189 37.770958),28,28,7,11,9
DIVISADERO,WALLER,SE,NB,,26011000,DIVISADERO ST & WALLER ST,,,,,,,POINT (-122.43684 37.770336),28,28,7,5,3
DUBOCE,SCOTT,,EB,,26006000,DUBOCE AVE & SCOTT ST,,,,,,,POINT (-122.43488 37.769108),28,28,7,5,5
FILLMORE,WALLER,NW,SB,,25895000,FILLMORE ST & WALLER ST,,,,,,,POINT (-122.430244 37.771168),28,28,7,11,9
NOE,15TH ST,NW,SB,0,25810000,NOE & 15TH ST,,,,,,,POINT (-122.43324 37.765858),28,28,7,5,5
PIERCE,WALLER,SE,NB,0,25996000,PIERCE ST & WALLER ST,,,,,,,POINT (-122.43353 37.770752),28,28,7,5,3
14TH ST,NOE,SW,EB,0,25982000,14TH ST & NOE,,,,,,,POINT (-122.433395 37.767456),28,28,7,5,5
FILLMORE,HERMANN,SE,NB,0,25894000,FILLMORE ST & HERMANN ST,,,,,,,POINT (-122.43006 37.770237),28,28,7,5,9
WALLER,STEINER,NE,WB,0,25991000,WALLER & STEINER,,,,,,,POINT (-122.43189 37.770958),28,28,7,11,9
WALLER,PIERCE,,EB,,25996000,WALLER & PIERCE,,,,,,,POINT (-122.43353 37.770752),28,28,7,5,3
SANCHEZ,DUBOCE,SE,NB,0,25986000,SANCHEZ ST & DUBOCE,,,,I,,,POINT (-122.43134 37.769318),28,28,7,5,5
SANCHEZ,14TH ST,SE,NB,0,25977000,SANCHEZ ST & 14TH ST,,,,I,,,POINT (-122.431175 37.76759),28,28,7,5,5
HENRY,NOE,NE,WB,0,25981000,HENRY & NOE,,,,,,,POINT (-122.43332 37.76666),28,28,7,5,5
SCOTT,DUBOCE,NW,SB,0,26006000,SCOTT & DUBOCE,,,,,,,POINT (-122.43488 37.769108),28,28,7,5,5
WALTER,DUBOCE,SE,NB,0,25985000,WALTER & DUBOCE,,,,,,,POINT (-122.43245 37.769245),28,28,7,5,5
STANYAN,BEULAH,NE,WB,,26428000,STANYAN & BEULAH,,,,,,,POINT (-122.45315 37.767303),29,29,7,11,3
BELVEDERE,WALLER,SE,NB,0,26408000,BELVEDERE ST & WALLER ST,,,,,,,POINT (-122.44944 37.768723),29,29,7,11,3
COLE,CARL,SE,NB,0,26282000,COLE ST & CARL ST,,,,,,,POINT (-122.44994 37.765797),29,29,7,11,3
SHRADER,CARL,SE,NB,0,26300000,SHRADER & CARL,,,,,,,POINT (-122.45139 37.76561),29,29,7,11,3
SHRADER,BEULAH,,SB,,26425000,SHRADER & BEULAH,,,,,,,POINT (-122.45148 37.767513),29,29,7,11,3
BEULAH,COLE,,EB,,26411000,,,,,,,,POINT (-122.450325 37.76766),29,29,7,11,3
WALLER,BELVEDERE,NE,WB,,26408000,WALLER & BELVEDERE,,,,,,,POINT (-122.44944 37.768723),29,29,7,11,3
WALLER,SHRADER,SW,EB,,26429000,WALLER & SHRADER,,,,,,,POINT (-122.45166 37.76844),29,29,7,11,3
BELVEDERE,FREDERICK,NW,SB,,26406000,BELVEDERE ST & FREDERICK ST,20160405000000,,16-036,,,,POINT (-122.44906 37.76687),29,29,7,11,3
WALLER,SHRADER,NE,WB,5E,26429000,WALLER & SHRADER,,,,,,,POINT (-122.45166 37.76844),29,29,7,11,3
BEULAH,SHRADER,NE,WB,0,26425000,BEULAH & SHRADER,,,,,,,POINT (-122.45148 37.767513),29,29,7,11,3
COLE,WALLER,NB,NB,,4240000,COLE ST & WALLER ST,,,,I,,,POINT (-122.45051 37.76859),29,29,7,11,3
SHRADER,WALLER,NW,SB,0,26429000,SHRADER & WALLER,,,,,,,POINT (-122.45166 37.76844),29,29,7,11,3
FREDERICK,SHRADER,SW,EB,,26426000,FREDERICK ST & SHRADER ST,,,,,,,POINT (-122.45128 37.766586),29,29,7,11,3
WALLER,COLE,NE,WB,0,26413000,WALLER & COLE,,,,I,,,POINT (-122.45051 37.76859),29,29,7,11,3
SHRADER,FREDERICK,NW,SB,,26426000,SHRADER & FREDERICK,,,,,,,POINT (-122.45128 37.766586),29,29,7,11,3
BELVEDERE,WALLER,NW,SB,0,26408000,BELVEDERE ST & WALLER ST,,,,,,,POINT (-122.44944 37.768723),29,29,7,11,3
FREDERICK,COLE,SW,EB,0,26410000,FREDERICK & COLE,,,,,,,POINT (-122.450134 37.766724),29,29,7,11,3
CARL,COLE,NE,WB,0,26282000,CARL & COLE,,,,,,,POINT (-122.44994 37.765797),29,29,7,11,3
WALLER,COLE,SW,EB,0,26413000,WALLER & COLE,,,,I,,,POINT (-122.45051 37.76859),29,29,7,11,3
BEULAH,SHRADER,SW,EB,0,26425000,BEULAH & SHRADER,,,,,,,POINT (-122.45148 37.767513),29,29,7,11,3
COLE,FREDERICK,NW,SB,0,26410000,COLE ST & FREDERICK ST,,,,,,,POINT (-122.450134 37.766724),29,29,7,11,3
WALLER,BELVEDERE,SW,EB,,26408000,WALLER & BELVEDERE,,,,,,,POINT (-122.44944 37.768723),29,29,7,11,3
CARL,COLE,SW,EB,0,26282000,CARL & COLE,,,,,,,POINT (-122.44994 37.765797),29,29,7,11,3
SHRADER,WALLER,SE,NB,0,26429000,SHRADER & WALLER,,,,,,,POINT (-122.45166 37.76844),29,29,7,11,3
SHRADER,BEULAH,,NB,,26425000,SHRADER & BEULAH,,,,,,,POINT (-122.45148 37.767513),29,29,7,11,3
FREDERICK,COLE,NE,WB,0,26410000,FREDERICK & COLE,,,,,,,POINT (-122.450134 37.766724),29,29,7,11,3
COLE,FREDERICK,SE,NB,0,26410000,COLE ST & FREDERICK ST,,,,,,,POINT (-122.450134 37.766724),29,29,7,11,3
COLE,CARL,NW,SB,0,26282000,COLE ST & CARL ST,,,,,,,POINT (-122.44994 37.765797),29,29,7,11,3
FREDERICK,SHRADER,NE,WB,,26426000,FREDERICK & SHRADER,,,,,,,POINT (-122.45128 37.766586),29,29,7,11,3
COLE,WALLER,NW,SB,,4240000,COLE ST & WALLER ST,,,,I,,,POINT (-122.45051 37.76859),29,29,7,11,3
STILLMAN,02ND ST,SW,EB,,24492000,STILLMAN ST & 02ND ST,,,,I,,,POINT (-122.394135 37.783497),30,30,1,10,8
RINCON,BRYANT,NW,SB,0,24481000,RINCON & BRYANT,,,,,,,POINT (-122.392105 37.7842),31,31,1,10,8
TABER,JACK LONDON,SW,EB,,24507000,TABER ALY & JACK LONDON ALY,20170103000000,,170103-002,I,,,POINT (-122.394394 37.781937),31,31,1,10,8
DELANCEY,BRANNAN,,NB,,23600000,DELANCEY & BRANNAN,,,,,,,POINT (-122.38983 37.783604),31,31,1,10,8
TABER,JACK LONDON,NE,WB,,24507000,TABER ALY & JACK LONDON ALY,20170103000000,,170103-002,I,,,POINT (-122.394394 37.781937),31,31,1,10,8
COLIN P KELLY JR,TOWNSEND,NW,SB,,23595000,COLIN P KELLY JR ST & TOWNSEND ST,,,,,,,POINT (-122.38974 37.781216),31,31,1,10,4
DELANCEY,BRANNAN,,SB,,23600000,DELANCEY & BRANNAN,,,,,,,POINT (-122.38983 37.783604),31,31,1,10,8
JACK LONDON ALY,BRYANT,SE,NB,0,24508000,JACK LONDON ALY & BRYANT,20210108000000,,6351,I,20-01334,20210311000000,POINT (-122.394714 37.782196),31,31,1,10,8
JACK LONDON ALY,TABER PL,NW,SB,,24507000,JACK LONDON ALY & TABER PL,,,,,,,POINT (-122.394394 37.781937),31,31,1,10,8
FEDERAL,DELANCEY,SE,NB,,24478000,FEDARAL ST & DELANCEY ST,,,,,,,POINT (-122.39085 37.784405),31,31,1,10,8
BRANNAN,DELANCEY,,WB,,23600000,BRANNAN & DELANCEY,,,,,,,POINT (-122.38983 37.783604),31,31,1,10,8
SOUTH PARK,JACK LONDON,NE,WB,,28058000,SOUTH PARK & JACK LONDON,,,,,,,POINT (-122.39408 37.781685),31,31,1,10,8
SOUTH PARK,JACK LONDON,SW,EB,,23816000,SOUTH PARK & JACK LONDON,,,,,,,POINT (-122.39379 37.781456),31,31,1,10,8
RINCON,BRYANT,SE,NB,,24481000,RINCON & BRYANT,,,,,,,POINT (-122.392105 37.7842),31,31,1,10,8
BRANNAN,DELANCEY,,EB,,23600000,BRANNAN & DELANCEY,,,,,,,POINT (-122.38983 37.783604),31,31,1,10,8
JACK LONDON ALY,SOUTH PARK,NW,SB,,28058000,JACK LONDON ALY & SOUTH PARK,,,,,,,POINT (-122.39408 37.781685),31,31,1,10,8
JACK LONDON ALY,TABER PL,SE,NB,,24507000,JACK LONDON ALY & TABER PL,,,,,,,POINT (-122.394394 37.781937),31,31,1,10,8
JACK LONDON,BRANNAN,NW,SB,,23814000,JACK LONDON ALY & BRANNAN ST,20200320000000,,6234,I,21-02646,20210803000000,POINT (-122.39317 37.780964),31,31,1,10,8
JACK LONDON ALY,SOUTH PARK,SE,NB,10S,23816000,JACK LONDON ALY & SOUTH PARK,,,,,,,POINT (-122.39379 37.781456),31,31,1,10,8
RINCON ST,FEDERAL ST,,EB,,2448000,,,,,,,,POINT (-122.39159 37.783817),31,31,1,10,8
SOUTH PARK,03RD ST,,WB,,28061000,,,,,,,,POINT (-122.39505 37.780697),31,31,1,10,8
COLIN P KELLY JR,BRANNAN,SE,NB,,23802000,COLIN P KELLY JR ST & BRANNAN ST,,,,,,,POINT (-122.3913 37.782448),31,31,1,10,8
2ND ST,KING,,NB,,23589000,,,,,,,,POINT (-122.38958 37.779858),31,31,1,10,4
DORE,FOLSOM,,SB,,24234000,,,,,,,,POINT (-122.41221 37.77328),32,32,1,10,34
LAFAYETTE STREET,HOWARD STREET,NW,SB,,24360000,LAFAYETTE & HOWARD,20160405000000,,16-036,,,,POINT (-122.41629 37.77245),32,32,1,10,20
MINT,MISSION,NW,SB,0,24886000,MINT & MISSION,,,,,,,POINT (-122.40715 37.782185),32,32,1,10,34
NATOMA,9TH ST,SW,EB,0,24306000,NATOMA & 9TH ST,,,,,,,POINT (-122.413704 37.775433),32,32,1,10,34
MARY,NATOMA,SE,NB,0,24283000,MARY & NATOMA,,,,,,,POINT (-122.406235 37.7813),32,32,1,10,34
NATOMA,MARY,SW,EB,0,24283000,NATOMA & MARY,,,,,,,POINT (-122.406235 37.7813),32,32,1,10,34
STEVENSON,7TH ST,NW,SB,,24319000,STEVENSON & 7TH ST,,,,,,,POINT (-122.41192 37.780003),32,32,5,10,34
CLARA,5TH ST,SE,EB,,23910000,CLARA ST & 5TH ST,20170905000000,,170905-108,,,,POINT (-122.40237 37.779453),32,32,1,10,34
CLEMENTINA,01ST ST,SW,EB,0,24526000,CLEMENTINA & 01ST ST,,,,,,,POINT (-122.395 37.787712),32,32,1,10,8
BRADY,COLTON,,EB,,24394000,BRADY & COLTON,,,,,,,POINT (-122.42039 37.772865),32,32,1,10,20
RUSS,NATOMA,NW,SB,0,24288000,RUSS & NATOMA,,,,,,,POINT (-122.4088 37.77929),32,32,1,10,34
PLUM,MISSION,NE,WB,0,24359000,PLUM & MISSION,,,,,,,POINT (-122.41963 37.771),32,32,1,10,20
NATOMA,NEW MONTGOMERY,SW,EB,0,24598000,NATOMA & NEW MONTGOMERY,,,,,,,POINT (-122.39949 37.78663),32,32,1,10,8
MOSS,FOLSOM,NW,EB,0,24263000,MOSS & FOLSOM,,,,,,,POINT (-122.40728 37.777176),32,32,1,10,34
JESSIE ST,04TH ST,SW,EB,0,24635000,JESSIE ST & 04TH ST,,,,,,,POINT (-122.404785 37.784904),32,32,5,10,8
CLEMENTINA,04TH ST,SW,EB,0,24589000,CLEMENTINA & 04TH ST,,,,,,,POINT (-122.40168 37.782448),32,32,1,10,34
TEHAMA,09TH ST,NE,WB,0,24297000,TEHAMA & 09TH ST,,,,,,,POINT (-122.41261 37.77456),32,32,1,10,34
TEHAMA,06TH ST,NE,WB,,24280000,TEHAMA & 06TH ST,,,,,,,POINT (-122.40662 37.77931),32,32,1,10,34
LANGTON ST,FOLSOM ST,NW,SB,,24274000,LANGTON & FOLSOM ST,20160816000000,,16-103,,,,POINT (-122.40836 37.776314),32,32,1,10,34
JESSIE ST,3RD ST,NE,WB,,24616000,JESSIE ST & 3RD ST,20170103000000,,170103-002,,,,POINT (-122.402565 37.786674),32,32,6,10,8
AHERN,HARRIET,,WB,,23918000,AHERN & HARRIET,,,,,,,POINT (-122.403946 37.776306),32,32,1,10,34
WASHBURN,HOWARD,,SB,,24307000,,,,,,,,POINT (-122.413574 37.774654),32,32,1,10,34
GALLAGHER,CLEMENTINA,NW,SB,,24626000,GALLAGHER & CLEMENTINA,,,,,,,POINT (-122.40284 37.78154),32,32,1,10,34
NATOMA,RUSS,SW,EB,0,24288000,RUSS & NATOMA,20210205000000,,6359,I,20-01340,20210415000000,POINT (-122.4088 37.77929),32,32,1,10,34
NATOMA,07TH ST,SW,EB,0,24289000,NATOMA & 07TH ST,,,,,,,POINT (-122.40993 37.77841),32,32,1,10,34
CLEMENTINA,06TH ST,NE,WB,0,23943000,CLEMENTINA & 06TH ST,,,,,,,POINT (-122.40615 37.77894),32,32,1,10,34
SHERMAN,HARRISON,NW,SB,,23928000,SHERMAN ST & HARRISON ST,,,,I,,,POINT (-122.405464 37.776157),32,32,1,10,34
BRADY,STEVENSON,,NB,,24397000,BRADY & STEVENSON,,,,,,,POINT (-122.42076 37.77316),32,32,1,10,20
CLEVELAND,7TH ST,NE,WB,,24257000,CLEVELAND ST & 7TH ST,,,,,,,POINT (-122.40728 37.776302),32,32,1,10,34
MARY,MINNA,SE,NB,0,24284000,MARY & MINNA,,,,,,,POINT (-122.4067 37.781673),32,32,1,10,34
CLEMENTINA,08TH ST,NE,WB,0,24273000,CLEMENTINA & 08TH ST,,,,,,,POINT (-122.4106 37.775425),32,32,1,10,34
STEVENSON,06TH ST,SW,EB,0,24295000,STEVENSON & 06TH ST,,,,,,,POINT (-122.40968 37.78175),32,32,5,10,34
ANNIE,JESSIE,NW,SB,,24615000,ANNIE & JESSIE,,,,,,,POINT (-122.40181 37.787266),32,32,6,10,8
AHERN,06TH ST,SW,EB,0,23916000,AHERN & 06TH ST,,,,,,,POINT (-122.40336 37.77671),32,32,1,10,34
ANTHONY,MISSION,NW,SB,0,24603000,ANTHONY & MISSION,,,,,,,POINT (-122.399345 37.78835),32,32,1,10,8
HARRIET,HOWARD,SE,WB,,24281000,HARRIET ST & HOWARD ST,,,,,,,POINT (-122.40768 37.779312),32,32,1,10,34
STILLMAN,03RD ST,NE,WB,,23838000,STILLMAN ST & 03RD ST,,,,I,,,POINT (-122.39637 37.781746),32,32,1,10,8
ANNIE,MISSION,NW,SB,0,24612000,ANNIE & MISSION,,,,,,,POINT (-122.401245 37.786846),32,32,1,10,8
COLUMBIA SQUARE,FOLSOM,SE,NB,,23926000,COLUMBIA SQUARE ST & FOLSOM ST,,,,I,,,POINT (-122.406425 37.77785),32,32,1,10,34
RINGOLD STREET,9TH STREET,NE,WB,,24231000,RINGOLD & 9TH ST,,,,,,,POINT (-122.41106 37.773327),32,32,1,10,34
CLEMENTINA,03RD ST,NE,WB,0,24587000,CLEMENTINA & 03RD ST,,,,,,,POINT (-122.399445 37.78421),32,32,1,10,8
STEVENSON,04TH ST,NE,WB,0,24636000,STEVENSON & 04TH ST,,,,,,,POINT (-122.40522 37.78526),32,32,5,10,8
MINNA,08TH ST,,WB,,24310000,MINNA ST & 08TH ST,,,,I,,,POINT (-122.412605 37.777023),32,32,1,10,34
LANGTON ST,FOLSOM ST,SE,NB,,24274000,LANGTON & FOLSOM ST,20160816000000,,16-103,,,,POINT (-122.40836 37.776314),32,32,1,10,34
BLUXOME,05TH ST,SW,EB,0,23824000,BLUXOME & 05TH ST,,,,,,,POINT (-122.39796 37.775936),32,32,1,10,34
BRADY,STEVENSON,,EB,,24397000,BRADY & STEVENSON,,,,,,,POINT (-122.42076 37.77316),32,32,1,10,20
STEVENSON,7TH ST,SW,EB,,24319000,STEVENSON & 7TH ST,,,,,,,POINT (-122.41192 37.780003),32,32,5,10,34
HARRIET,HARRISON,NW,SB,,23921000,HARRIET ST & HARRISON ST,,,,I,,,POINT (-122.404594 37.77684),32,32,1,10,34
LASKIE ST,MISSION,NW,SB,0,24314000,LASKIE ST & MISSION,,,,,,,POINT (-122.41409 37.776703),32,32,1,10,34
TEHAMA,02ND ST,NE,WB,0,24539000,TEHAMA & 02ND ST,20210730000000,,6441,L,,,POINT (-122.39769 37.786335),32,32,1,10,8
TEHAMA,05TH ST,NE,WB,0,23940000,TEHAMA & 05TH ST,,,,,,,POINT (-122.40439 37.78107),32,32,1,10,34
GRACE,MISSION,SE,NB,0,24309000,GRACE & MISSION,,,,,,,POINT (-122.415474 37.7756),32,32,1,10,34
NATOMA,06TH ST,SW,EB,0,24282000,NATOMA & 06TH ST,,,,,,,POINT (-122.40768 37.780155),32,32,1,10,34
12TH ST,SOUTH VAN NESS,NW,SB,,24388000,12TH ST & SOUTH VAN NESS,,,,I,,,POINT (-122.418785 37.773125),32,32,1,10,20
BRADY,MARKET,SE,NB,0,30752000,BRADY & MARKET,,,,,,,POINT (-122.42122 37.773518),32,32,1,10,20
JESSIE ST,MINT,SW,EB,0,24887000,JESSIE ST & MINT,,,,,,,POINT (-122.40786 37.782745),32,32,5,10,34
BLUXOME,05TH ST,NE,WB,0,23824000,BLUXOME & 05TH ST,,,,,,,POINT (-122.39796 37.775936),32,32,1,10,34
HARRIET,HARRISON,SE,NB,0,23921000,HARRIET ST & HARRISON ST,,,,,,,POINT (-122.404594 37.77684),32,32,1,10,34
NATOMA,10TH ST,SW,EB,0,24412000,NATOMA & 10TH ST,,,,,,,POINT (-122.414894 37.77447),32,32,1,10,34
RUSS,NATOMA,SE,NB,0,24288000,RUSS & NATOMA,,,,,,,POINT (-122.4088 37.77929),32,32,1,10,34
NATOMA,05TH ST,SW,EB,0,23945000,NATOMA & 05TH ST,,,,,,,POINT (-122.40546 37.78192),32,32,1,10,34
HARRIET,FOLSOM,NW,SB,,23924000,HARRIET ST & FOLSOM ST,,,,I,,,POINT (-122.406136 37.778076),32,32,1,10,34
11TH ST,MARKET,NE,WB,,30747000,11TH ST & MARKET ST,,,,I,,,POINT (-122.41863 37.775547),32,32,5,10,34
SHERIDAN,10TH ST,NE,WB,0,24232000,SHERIDAN & 10TH ST,,,,,,,POINT (-122.41188 37.772068),32,32,1,10,34
MABINI,BONIFACIO,NW,SB,,24585000,MABINI ST & BONIFACIO ST,20181106000000,,181106-145,I,18-6860,20190110000000,POINT (-122.39982 37.782207),32,32,1,10,34
BRADY,COLTON,,WB,,24394000,BRADY & COLTON,,,,,,,POINT (-122.42039 37.772865),32,32,1,10,20
FREELON,ZOE,SW,EB,0,23835000,FREELON ST & ZOE ST,20201204000000,,6330,I,20-00847,20210121000000,POINT (-122.39582 37.779716),32,32,1,10,34
STEVENSON,05TH ST,SW,EB,0,24888000,STEVENSON & 05TH ST,,,,,,,POINT (-122.40747 37.783524),32,32,5,10,34
12TH ST,HARRISON,NW,SB,,24237000,12TH ST & HARRISON ST,,,,I,19-8890,,POINT (-122.41303 37.770046),32,32,1,10,20
MARY,MISSION,SW,NB,0,24883000,MARY & MISSION,,,,,,,POINT (-122.40724 37.782116),32,32,1,10,34
JULIA ST,MISSION,SW,NB,0,24317000,JULIA ST & MISSION,,,,,,,POINT (-122.4124 37.77804),32,32,1,10,34
RITCH,BRANNAN,SE,NB,,23813000,RITCH & BRANNAN,,,,,,,POINT (-122.39483 37.77966),32,32,1,10,34
JESSIE ST,05TH ST,SW,EB,0,24885000,JESSIE ST & 05TH ST,,,,,,,POINT (-122.40717 37.783287),32,32,5,10,34
MINNA,11TH ST,NE,WB,,24363000,MINNA ST & 11TH ST,20170321000000,,170321-030,I,,,POINT (-122.416565 37.773903),32,32,1,10,34
JESSIE ST,07TH ST,SW,EB,0,24316000,JESSIE ST & 07TH ST,,,,,,,POINT (-122.41147 37.779644),32,32,5,10,34
MINNA,SHAW,SW,EB,,24600000,MINNA ST & SHAW ALY,20200317000000,,200317-028,I,21-01924,20210325000000,POINT (-122.39801 37.78855),32,32,1,10,8
MINNA,NEW MONTGOMERY,SW,EB,0,24599000,MINNA & NEW MONTGOMERY,,,,I,,,POINT (-122.39996 37.787006),32,32,1,10,8
RITCH,BRANNAN,,SB,,23813000,,,,,,,,POINT (-122.39483 37.77966),32,32,1,10,34
ZOE,BRYANT,SE,NB,,23837000,ZOE ST & BRYANT ST,,,,I,,,POINT (-122.396835 37.78052),32,32,1,10,34
LAPU LAPU ST,HARRISON,NW,SB,,24579000,LAPU LAPU ST & HARRISON,,,,,,,POINT (-122.39833 37.781796),32,32,1,10,34
PLUM,SOUTH VAN NESS,SW,EB,,33613000,PLUM ST & SOUTH VAN NESS AVE,,,,I,,,POINT (-122.418015 37.77087),32,32,1,10,20
JESSIE ST,09TH ST,SW,EB,0,24416000,JESSIE ST & 09TH ST,,,,,,,POINT (-122.415306 37.776714),32,32,5,10,34
STEVENSON,08TH ST,SW,EB,0,24327000,STEVENSON & 08TH ST,,,,,,,POINT (-122.41413 37.778236),32,32,5,10,34
